State,Value
  1  1  111 ,-0.7845263429687497
  1  1  1111,0.0
  1  1 1    ,-0.7038553214042966
  1  1 1   1,-0.034916864804687496
  1  1 1  1 ,-0.95
  1  1 1  11,-0.8573749999999999
  1  1 1 1  ,0.7001750258203123
  1  1 1 1 1,0.0
  1  1 1 11 ,-1.6032122960937498
  1  1 1 111,-0.03868904687500008
  1  1 11   ,0.7409003383203123
  1  1 11  1,-1.5149869835937495
  1  1 11 1 ,-1.6419013429687495
  1  1 11 11,-0.95
  1  1 111  ,-0.7845263429687497
  1  1 111 1,0.8209422031249999
  1  1 1111 ,-0.07228310937500004
  1  1 11111,-1.7666496874999997
  1  11     ,-0.7406099159355465
  1  11    1,-0.034916864804687586
  1  11   1 ,0.0
  1  11   11,0.036754594531250025
  1  11  1  ,-0.034916864804687496
  1  11  1 1,-1.5624869835937496
  1  11  11 ,-0.7412060460937497
  1  11  111,-0.8960640468750001
  1  11 1   ,0.7795893851953122
  1  11 1  1,-1.5149869835937495
  1  11 1 1 ,-1.6419013429687495
  1  11 1 11,-1.031557796875
  1  11 11  ,-1.8073749999999997
  1  11 11 1,2.6783172031249998
  1  11 111 ,-0.9435640468750002
  1  11 1111,1.0858503125
  1  111    ,0.7409003383203123
  1  111   1,-1.5149869835937495
  1  111  1 ,-1.72989509296875
  1  111  11,-0.95
  1  111 1  ,-0.7370263429687498
  1  111 1 1,-0.08618904687500004
  1  111 11 ,-0.03868904687500003
  1  111 111,-0.8641496874999999
  1  1111   ,-0.95611415546875
  1  1111  1,0.8209422031249999
  1  1111 1 ,0.8209422031249999
  1  1111 11,-1.7666496874999997
  1  11111  ,1.5947231406249995
  1  11111 1,-2.5811559374999997
  1  111111 ,-2.5811559374999997
  1  1111111,0.007131249999999922
  1 1       ,-0.03151247048623046
  1 1      1,-0.6651662745292967
  1 1     1 ,0.0331710215644531
  1 1     11,-0.034916864804687524
  1 1    1  ,-0.6651662745292967
  1 1    1 1,-0.034916864804687586
  1 1    11 ,-0.03491686480468759
  1 1    111,-0.6983372960937497
  1 1   1   ,0.0331710215644531
  1 1   1  1,-0.07360591167968758
  1 1   1 1 ,-0.03491686480468756
  1 1   1 11,-0.7370263429687498
  1 1   11  ,-0.07360591167968758
  1 1   11 1,-1.7706204054687498
  1 1   111 ,-0.7370263429687498
  1 1   1111,-0.03868904687500011
  1 1  1    ,-0.6651662745292967
  1 1  1   1,-0.07360591167968758
  1 1  1  1 ,-0.07360591167968758
  1 1  1  11,-0.7370263429687498
  1 1  1 1  ,-0.034916864804687565
  1 1  1 1 1,-0.7412060460937497
  1 1  1 11 ,-0.8206204054687498
  1 1  1 111,0.7758172031249998
  1 1  11   ,-0.034916864804687524
  1 1  11  1,-0.7370263429687498
  1 1  11 1 ,-0.95
  1 1  11 11,-0.03868904687500003
  1 1  111  ,-0.7370263429687498
  1 1  111 1,-0.95
  1 1  1111 ,-0.08155779687500007
  1 1  11111,-2.5811559374999997
  1 1 1     ,-0.7406099159355465
  1 1 1    1,0.0
  1 1 1   1 ,-0.03491686480468756
  1 1 1   11,-0.7370263429687498
  1 1 1  1  ,-0.03491686480468755
  1 1 1  1 1,-1.5196182335937494
  1 1 1  11 ,-0.7370263429687498
  1 1 1  111,-0.2577768593750003
  1 1 1 1   ,0.6247313844140621
  1 1 1 1  1,-1.72989509296875
  1 1 1 1 1 ,-0.7370263429687498
  1 1 1 1 11,-0.16978310937500013
  1 1 1 11  ,-1.6419013429687495
  1 1 1 11 1,0.8638109531249998
  1 1 1 111 ,-0.08155779687500009
  1 1 1 1111,-0.8641496874999999
  1 1 11    ,-0.034916864804687565
  1 1 11   1,-0.7370263429687498
  1 1 11  1 ,-0.6576119835937496
  1 1 11  11,-0.08155779687500009
  1 1 11 1  ,-0.7370263429687498
  1 1 11 1 1,0.8209422031249999
  1 1 11 11 ,-0.8960640468750001
  1 1 11 111,-0.9092746875
